"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"497097",126.481585433975,-10.1820471563318,0.930813062186235,-10.9388743776509,7.51268364853212e-28,1.03106264857425e-26
"19888",1.95697709143844,3.06707170707037,1.24027915219668,2.47288822168641,0.0134026055522904,0.0219558115326946
"20671",50.5979096011351,-2.71203165201435,0.337588862860285,-8.03353413094303,9.47042942192959e-16,6.35664610397592e-15
"27395",358.719720532762,0.799402863282408,0.127886687667469,6.25086846694329,4.08176534014735e-10,1.71874609133137e-09
"18777",744.356910502922,0.106721129779856,0.134073799345107,0.79598795813308,0.426039034597756,0.4903628883403
"21399",1097.91010559132,-0.361177587554602,0.0646268520902153,-5.58866130521752,2.28826762208987e-08,8.05991835219952e-08
"58175",45.8664687128132,4.47692541939939,0.474793557077016,9.42920423554356,4.1321187243111e-21,3.93512733528241e-20
"108664",1257.00000419197,0.990234295100242,0.0872505082674902,11.3493240871951,7.47382035496737e-30,1.14519819715299e-28
"12421",1198.4460139211,-0.0723946582903272,0.163694630978289,-0.442254323539353,0.658305179814248,0.709003263073435
"319263",1468.98844156475,-0.112681992406632,0.145798483825365,-0.772861208499267,0.439604524376712,0.503490835767072
"59014",1055.15053367533,-0.457416466640067,0.160488304567692,-2.85015451980884,0.00436979942025144,0.00780176092692816
"76187",118.35809812309,3.04850407531069,0.439522521427191,6.93594509198704,4.03514316124151e-12,2.03893735922486e-11
"72481",17.0215197989908,2.11721978209624,0.501333100910625,4.22317971474556,2.40879593105758e-05,5.9438911385609e-05
"76982",21.4114875344842,-1.63619147854922,0.451531089069745,-3.62365187726085,0.000290472507622846,0.000620568686393408
"17864",253.645467880723,-1.34160444242723,0.217989491964308,-6.15444547504562,7.53406380533933e-10,3.10014269809517e-09
"70675",1093.34176020649,0.0463896318308583,0.165703165377098,0.27995622005945,0.779511093615597,0.816250800057539
"73331",1.10670834315778,-0.312169099086214,1.21120301015201,-0.257734745100276,0.79661162904892,0.829957743173606
"170755",138.093500802795,-1.10049083780232,0.20715388773335,-5.31243149642875,1.08172095404029e-07,3.54189093893583e-07
"620986",60.817983688654,0.291427764168765,0.20778561169038,1.40254063694756,0.160753864471277,0.209344882686275
"240697",2.97172337646655,-3.69321723102548,0.969848323206878,-3.80803589865844,0.000140074941846684,0.000311883496002446
"73824",245.390701726979,-0.284155116679156,0.153924568922159,-1.84606732160384,0.0648824310025798,0.0928158923654769
"266793",5.87413189713694,-1.29861474511301,0.523027390490422,-2.48288095178982,0.0130324633961429,0.0213874998512127
"100038398",21.2341151381482,-0.541650220251294,0.550986536452535,-0.983055273434897,0.325580235598375,0.388754410324206
"100039596",3.87596956589101,-1.53152365436284,0.786584566200969,-1.94705530742837,0.051528104320932,0.0753533947048173
"69312",1.25976529276451,2.03237839158661,1.15457566614894,1.76028167851965,0.0783600590521826,0.109992385032778
"26754",1105.78097266904,0.499880346937717,0.0547040344602098,9.1379064061777,6.36730060350211e-20,5.63000204106106e-19
"211660",478.496448236009,-0.0688459400906107,0.117240326071095,-0.587220646664378,0.557055527568076,0.615135721970671
"211673",3055.97681575471,0.186462680059095,0.0977707805161027,1.90714116298156,0.0565023101043966,0.0818901123310337
"329093",36.6168780920595,-8.48016264999526,0.861811671719422,-9.83992550608682,7.5766917475321e-23,8.10380421637898e-22
"109294",149.154655459351,-1.51421626372725,0.257803012410122,-5.87353983792239,4.26586456438756e-09,1.62634430856738e-08
"320492",3.54795470242536,-0.507151330540082,0.922140360832785,-0.549971947960366,0.582338614274345,0.638868545878422
"240725",270.79209167621,-4.34607951976976,0.273772154284073,-15.8748048395753,9.47050146914599e-57,4.15304038235073e-55
