"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"497097",126.481585433975,-0.95420188535702,0.68588133305811,-1.39120550358553,0.164163118822557,0.35168923271448
"19888",1.95697709143844,-0.461120869392454,1.34426271107874,-0.343028833272042,0.73157676889986,0.855319675120048
"20671",50.5979096011351,-0.391776122982124,0.388071182745495,-1.00954706353205,0.31271234253455,0.523379804477451
"27395",358.719720532762,0.227242999203969,0.156028717610293,1.45641778439495,0.145277162169171,0.32436319410303
"18777",744.356910502922,0.452746513456175,0.164063037708578,2.75958875185756,0.00578741645907974,0.0324357111144418
"21399",1097.91010559132,0.0716043906545733,0.0777652392333175,0.920776318063397,0.357167221556029,0.569641653651239
"58175",45.8664687128132,0.317595755662385,0.513343031873259,0.618681341603946,0.536126304061361,0.724798057960464
"108664",1257.00000419197,0.616606116473432,0.10685992284381,5.77022797756163,7.91643595849528e-09,3.868126708058e-07
"12421",1198.4460139211,0.0706598362814117,0.200300172749382,0.35276972212012,0.724261084511962,0.851160587342075
"319263",1468.98844156475,0.424971677443571,0.178776756168312,2.37710811266469,0.0174489730651821,0.0733745180093693
"59014",1055.15053367533,0.241342225621015,0.195367976008791,1.23532131801455,0.216710942858196,0.417813495033707
"76187",118.35809812309,1.35040374940516,0.543991235917675,2.48239982603235,0.0130500754885165,0.0592427661407505
"72481",17.0215197989908,1.15317404394945,0.618663866558347,1.86397510228713,0.0623252008280692,0.181960849233394
"76982",21.4114875344842,0.706902768846773,0.566062391283069,1.24880716283671,0.211735613480777,0.412763087372168
"17864",253.645467880723,-0.823033995954213,0.263187575642263,-3.12717647839471,0.00176493948807068,0.0128632942689387
"70675",1093.34176020649,0.00303836598111218,0.202337826502584,0.0150163023574505,0.988019174448402,0.994901927318123
"73331",1.10670834315778,1.03963730793392,1.50646920775639,0.690115206192812,0.490121741280057,NA
"170755",138.093500802795,-1.00823416555316,0.250978423291712,-4.01721451720687,5.88901118144814e-05,0.000831846807438106
"620986",60.817983688654,-0.36581809179209,0.248148154308754,-1.47419227360816,0.140429829577813,0.316926336697468
"240697",2.97172337646655,0.0545143292339413,0.909477321399669,0.0599402843273153,0.952203195304191,0.97798782667489
"73824",245.390701726979,-0.128299099860801,0.184066665656443,-0.697025175108398,0.485787038914061,0.684299332223753
"266793",5.87413189713694,-0.114077357163723,0.576004540006703,-0.198049406281409,0.843006408607045,0.923039336175849
"100038398",21.2341151381482,0.131063941688948,0.670742142453813,0.195401382130948,0.845078734682686,0.923775024590814
"100039596",3.87596956589101,-0.300329944371672,0.903516798488369,-0.332401063128146,0.739586435882545,0.860599631989801
"69312",1.25976529276451,1.54979611899126,1.32678202339984,1.1680864615726,0.242771890727449,NA
"26754",1105.78097266904,0.138278599519956,0.0659188627885631,2.09770911800298,0.0359308489307786,0.122690137277794
"211660",478.496448236009,-0.0883813823864212,0.142553366452271,-0.619988040871786,0.535265660473541,0.724236984912172
"211673",3055.97681575471,0.067536361677154,0.119602862520329,0.564671783383737,0.57229702990582,0.753020122942149
"329093",36.6168780920595,-0.374726289541685,0.389953144943132,-0.960952089760252,0.336576257923458,0.548051032192953
"109294",149.154655459351,-1.63636485348252,0.313368962669633,-5.22184724212028,1.77147075053286e-07,5.78680445174068e-06
"320492",3.54795470242536,-0.531433717611234,1.0096586261178,-0.526349900713104,0.598645117874133,0.770699466980762
"240725",270.79209167621,-1.25182859439447,0.322836166110187,-3.87759713999084,0.000105493211703877,0.00135907516468374
"240726",10.6469711557531,0.113487216690719,0.600874770813739,0.188869997881636,0.850194708560378,0.926649716205948
"383491",7.46439594953619,0.0213697164776127,0.658366522910502,0.0324586924364587,0.974106257318486,0.988326061874929
"17978",2052.08685095272,-0.0481060366576145,0.235572977314884,-0.204208637195736,0.838190462068642,0.920380563084298
"72265",2815.77487129803,0.355647464811193,0.387061410395087,0.918839892739942,0.358179322997564,0.570678656812322
"212442",243.472178128606,-0.0730692291650026,0.200852198188898,-0.363796014302428,0.716010339141271,0.846331539539659
"433273",1.85679625389042,-0.778260119972505,1.39436672488035,-0.558145935416872,0.576744735559808,0.755491178297873
"14048",197.327594001832,0.302111046280234,0.308831741016951,0.978238329018298,0.327956463522334,0.540240533357873
"17681",12.139939266512,-0.465731485259268,0.522054032858034,-0.89211356669266,0.372332063866834,0.584465217455557
"21749",182.716768236899,-0.340595888499716,0.16964919426865,-2.00764813512972,0.0446806956500371,0.143817284606707
"226866",213.600967409755,-0.307510956697615,0.562850616572019,-0.546345598003389,0.58482839803793,0.760762722112293
"19989",10540.4920502145,-0.0130977029950033,0.136765230881414,-0.095767783307148,0.923705004915873,0.963162841408099
"98711",947.082454860705,0.0662367825517998,0.315957431902255,0.209638311569424,0.8339499756944,0.918110904737322
"29819",383.070319656394,0.349735894707538,0.1173851988927,2.97938665186594,0.00288826066593063,0.0188823797663504
"66799",503.202348336382,0.0900346358343418,0.101770905380342,0.884679521105383,0.376329503868189,0.588250119320322
"67923",1578.89994427364,-0.160892129316308,0.0765909475372137,-2.10066769624615,0.0356701469251481,0.12206241242131
"329101",0.74781861642357,1.81393973158279,1.65540308276377,1.09576921202438,0.273179785183823,NA
"70397",484.136359291009,0.405223955550521,0.224194794052604,1.80746371593018,0.0706900071618805,0.198540494105584
"17087",82.4074011015501,1.17474220052934,0.22393619690206,5.24587903510358,1.55538932589451e-07,5.17846127580924e-06
"57339",103.130527755499,0.166040372899201,0.254436731549664,0.652580198967035,0.514026954387229,0.70747532736657
"14545",5.78333062522611,2.09473784329782,0.759144885647568,2.75933867552959,0.00579184759007058,0.0324395829181028
"94227",75.3202351411865,-0.219566437251977,0.503157127542036,-0.436377475808755,0.662562878391005,0.811926223141673
"83691",172.463999531387,-0.819134320213826,0.369338181255697,-2.21784359642668,0.0265654984027051,0.0984205756713632
"21419",1143.90770972116,-2.08271940599119,0.680372297514334,-3.06114668924673,0.00220491042674589,0.0152863214477754
"241035",2.5843952723512,-2.33247475476186,2.06135124808111,-1.13152707814019,0.257833312992016,0.464428180259552
"17215",772.896318874075,-0.868660390505653,0.524510780477985,-1.6561344834782,0.0976945874231429,0.248411400706689
"74229",52.7477388370862,-1.54830113893976,0.507355647872658,-3.05170770332761,0.00227543560893922,0.0156703255295301
"71877",38.5773950415135,-1.15422914987208,0.429344520618511,-2.68835188162949,0.00718056841267108,0.0381073656289037
"170829",81.7024527156564,-0.5922810067667,0.182473562152273,-3.24584558870202,0.00117102336383956,0.00925401880144012
"75712",46.8150798016256,-0.901273114817173,0.633906692861014,-1.4217756729298,0.155091383937721,0.338519585476746
"14859",24.1757103745447,2.38256603443096,0.686740519347676,3.46938322016316,0.00052165479353512,0.0049070629331129
"98582",0.869457517843438,0.605923732427106,1.60054868387278,0.378572509872664,0.705005339238699,NA
"226922",614.754568862916,-0.121888528666572,0.275381206178804,-0.442617455119398,0.658042457106474,0.809305759849807
"116837",1.78189782140728,-0.853947001283955,1.70485167031965,-0.500892257168535,0.6164469520349,0.783189689445352
"70155",2521.85249128922,1.07556388219881,0.195114606551147,5.51247239358713,3.53827703105771e-08,1.45094452436707e-06
"100503399",4.06190500711947,2.46713121527749,1.04256943625813,2.36639510950198,0.0179622632994928,0.0750236983368654
"280645",63.6374560311763,0.743105795189538,0.210083503079209,3.53719251772643,0.000404404768718651,0.00401764325211553
"98366",645.786818872299,0.386909811672416,0.152629347850074,2.5349634072503,0.0112459072810451,0.0531964842369807
"68002",116.300073945772,0.153161031575081,0.252604561873098,0.606327258856175,0.544297461026326,0.73154400975901
"68187",607.880321402775,-0.0698486797335,0.170131289557714,-0.410557516580776,0.681397020587574,0.823831652548411
"12839",2607.08128220378,1.88292969828272,0.752506794306744,2.50220956478857,0.0123420844304302,0.0567866834297726
