"","MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1-DH_BC2CTUACXX_CAGATC_L002_R1","MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1-DL_BC2CTUACXX_ATCACG_L002_R1","MCL1-LA_BC2CTUACXX_GATCAG_L001_R1","MCL1-LB_BC2CTUACXX_TGACCA_L001_R1","MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1"
"497097",8.451117414004,8.03736127755954,6.01358451398391,7.854210283175,8.53303180909943,8.25886046080589,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616
"19888",3.04472903399899,3.06614493427131,2.51756139244616,2.51756139244616,2.51756139244616,2.51756139244616,4.11793043970019,3.39873080477248,4.28255186040845,3.39344672716952,2.51756139244616,2.51756139244616
"20671",6.53991411761706,7.3554498141578,6.29885760130227,6.76362413821211,5.7672537018567,6.57568873884041,4.49002800213948,4.8414788140633,4.79278374496122,4.19948076833736,3.85285187941131,4.78822813771781
"27395",7.96699420304898,7.69611460275242,8.17766499998667,8.17954256662317,8.25498099915412,8.17409726341077,8.80775158616648,8.46004480053479,8.92309895075423,8.52460406795101,9.10391748653901,9.24151181658018
"18777",9.00969198311254,8.79093127207168,9.63305341902231,9.78083222290597,9.89585064729535,9.68715011692989,9.3566715893308,9.3320541230772,9.36405614379522,9.48044802087347,9.91625113681026,9.99486607378712
"21399",10.2894215095462,10.3039863419524,10.4840175834763,10.2696215211831,10.2130924453366,10.112459588136,10.0386555475009,9.86939446003996,10.0316929688222,9.99296283068386,9.81867685054685,9.78086101985862
"58175",3.55525780357778,3.28884030886342,4.42517449071362,3.65021413027569,3.36406419221135,3.36950865001622,7.16799302624694,7.04865986025506,7.17994736600495,6.25379389964435,5.86493280172426,5.19396690100197
"108664",9.24296831407877,9.32541541329466,9.79465804942339,9.8579323128676,9.99526084266956,9.87572655584558,10.0880783428225,10.0521637117704,10.7477921984587,10.7480069344707,11.1959004263929,11.1433971092382
"12421",10.1878946425069,10.222345425341,9.91674427693516,9.82876403466788,10.6771417727769,10.6726114897004,9.95949972294865,9.95515701072603,10.2992287744001,10.4533155044312,10.3105074120901,10.0921805174701
"319263",10.0368194989226,10.0391526872483,10.1620499648999,10.541801413141,11.0150226574694,11.000322384388,9.74417071330068,9.48628150702212,9.98829009668963,10.2948884581068,11.2969818093547,11.3134969692713
"59014",10.3649476536192,10.5759805285216,10.7873947723328,10.5947410307184,9.67197704257242,9.15607432676699,9.89596503153831,9.64028154087481,10.0423426756779,10.0264634570096,9.41710817024359,9.49517664905427
"76187",4.58508438084512,4.49626291933779,4.48347763226979,4.89990602688251,5.12327614199533,5.13695723918357,4.93829777611391,5.67827987203604,7.47577795109893,7.81804656768311,8.79738202941849,8.81054849663246
"72481",3.67187554583009,3.45679583264385,3.45004754270035,3.65021413027569,4.7815207574272,4.48001398652768,4.6413461829121,4.38545853407624,5.19902679489887,6.10107984943129,5.4015703206613,4.96539122600749
"76982",4.53484052323416,3.82429276231032,4.48347763226979,4.75226109045683,6.58965033121565,6.49547815734542,3.67668412973027,3.92276698571728,4.20119195904422,4.1008201304017,4.34866902408535,4.19755408222372
"17864",9.23373412364445,8.84977105687403,7.95085883672588,7.99221862955555,8.54875113738016,8.23444324608884,7.72076602134613,7.90528624138392,7.1991387666761,7.3635021755369,6.31275093074764,6.5880094610805
"70675",10.1945727343925,10.1875207796789,9.89188652524026,9.90620373953356,10.239962760556,9.95704162985073,10.182117201011,10.2443703455498,10.4647363843648,10.4666895519261,9.71703287782601,9.57289703148778
"73331",3.2590552399614,3.06614493427131,3.06211459413567,3.32847869757394,2.51756139244616,3.12428935733666,2.51756139244616,2.51756139244616,3.3456291783235,2.51756139244616,3.62012714857171,3.30234070334364
"170755",7.83147754368168,7.68439902113711,7.03239285416408,7.19778685672873,7.82233202996369,7.96440694183342,7.43213885499551,7.07251661293495,6.00583138992636,6.21180539005915,6.40572144561156,6.20011437854714
"620986",5.85914027764836,6.12181940682039,5.8771624704736,6.09905573509062,6.18733644615311,6.00868791136075,6.78400734665669,6.62235153234644,6.24737151109588,5.9810035911407,6.1063918304427,5.7143902512111
"240697",3.77579142527802,3.45679583264385,3.81518607551784,3.65021413027569,4.23577205353102,4.15672141750549,2.51756139244616,3.03152730421142,2.51756139244616,2.51756139244616,3.30644028790486,2.51756139244616
"73824",8.14704468444816,8.31307991416017,8.49743110710908,8.44095118312676,7.70792916026616,7.39664800564821,8.35408021452293,8.16370637348385,7.72105827244626,7.78281493929686,7.44706897814848,7.43264812221621
"266793",4.11157506721087,4.2432530130525,4.23175017223646,4.52539356907688,4.14696476571427,3.55378811570853,3.96236576032614,3.64407383743763,3.52511109612823,3.39344672716952,3.85285187941131,2.51756139244616
"100038398",5.91618593886308,4.80080292530907,4.87389544866025,5.19206843239063,4.60307581802892,4.84869896490947,4.04282046407875,4.07477141546921,3.91617067271098,5.3618464118527,5.46129601472358,5.19396690100197
"100039596",4.37093270346477,4.17084335564356,3.58839356458993,3.98995959832973,3.36406419221135,3.55378811570853,3.0470161811864,3.03152730421142,3.67359069016292,2.51756139244616,3.85285187941131,3.30234070334364
